x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39531200.0000000         3435000.0000000          100.0000000              5.29044847090977e-02     2.56322649504164e-02     -9.63654393010656e-02    2.56322649407994e-02     -6.05315214808361e-02    -1.44155235467144e-02    -9.63654393066698e-02    -1.44155235320423e-02    7.62703676536377e-03     
39531300.0000000         3435000.0000000          100.0000000              5.07262517428925e-02     3.26345082839456e-02     -1.13967691489164e-01    3.26345082576556e-02     -6.88442490228930e-02    -2.41215221478934e-02    -1.13967691514140e-01    -2.41215221062428e-02    1.81179972818523e-02     
39531400.0000000         3435000.0000000          100.0000000              4.45671675044055e-02     4.01350194186663e-02     -1.35161239116795e-01    4.01350194185965e-02     -7.79866796036760e-02    -3.71207799315054e-02    -1.35161239116527e-01    -3.71207799313394e-02    3.34195120970923e-02     
39531500.0000000         3435000.0000000          100.0000000              3.21345763414758e-02     4.79170210247236e-02     -1.57865952901282e-01    4.79170210248063e-02     -8.78313998410972e-02    -5.37573491138751e-02    -1.57865952900534e-01    -5.37573491140712e-02    5.56968235019780e-02     
39531600.0000000         3435000.0000000          100.0000000              1.38233268686794e-02     5.55202322381695e-02     -1.79420375185787e-01    5.55202322399568e-02     -9.85260300863356e-02    -7.49620897940760e-02    -1.79420375183744e-01    -7.49620897958871e-02    8.47027032155074e-02     
39531700.0000000         3435000.0000000          100.0000000              -1.18547460952279e-02    6.16694081123671e-02     -2.00629731513455e-01    6.16694081185089e-02     -1.10043450353670e-01    -1.00961552579063e-01    -2.00629731507064e-01    -1.00961552586804e-01    1.21898196443279e-01     
39531800.0000000         3435000.0000000          100.0000000              -4.75534800454066e-02    6.46531984049901e-02     -2.17907393187685e-01    6.46531984510178e-02     -1.22134959423550e-01    -1.31660289426702e-01    -2.17907393143860e-01    -1.31660289481307e-01    1.69688439464172e-01     
39531900.0000000         3435000.0000000          100.0000000              -9.33071059662686e-02    6.26072947659588e-02     -2.25174987958219e-01    6.26072947717985e-02     -1.34425440289143e-01    -1.65240546130832e-01    -2.25174987952071e-01    -1.65240546138054e-01    2.27732546246038e-01     
39532000.0000000         3435000.0000000          100.0000000              -1.44663691976265e-01    5.54312468220786e-02     -2.17532158479283e-01    5.54312468583353e-02     -1.45399076392708e-01    -2.01169102829950e-01    -2.17532158419738e-01    -2.01169102885784e-01    2.90062768366840e-01     
39532100.0000000         3435000.0000000          100.0000000              -1.97790113751201e-01    3.90791767607139e-02     -1.97405213197207e-01    3.90791767607039e-02     -1.57369531821597e-01    -2.40204587299631e-01    -1.97405213194674e-01    -2.40204587302146e-01    3.55159645578513e-01     
39532200.0000000         3435000.0000000          100.0000000              -2.49533864205933e-01    1.21638646079035e-02     -1.56813713927440e-01    1.21638645999519e-02     -1.71784158671932e-01    -2.72683915818797e-01    -1.56813713933518e-01    -2.72683915814322e-01    4.21318022876258e-01     
39532300.0000000         3435000.0000000          100.0000000              -2.90087387598759e-01    -2.23262432106784e-02    -9.69862915708550e-02    -2.23262432042026e-02    -1.87110589904335e-01    -2.94475200604452e-01    -9.69862915608694e-02    -2.94475200613414e-01    4.77197977498876e-01     
39532400.0000000         3435000.0000000          100.0000000              -3.12118383890852e-01    -6.16664257893423e-02    -2.30652295816474e-02    -6.16664257839694e-02    -2.03123299940257e-01    -3.03714787603840e-01    -2.30652295771382e-02    -3.03714787603849e-01    5.15241683840070e-01     
